Content,Video title,Video publish time,Clicks per end screen element shown (%),End screen elements shown,End screen element clicks,Views per playlist start,Views from playlist,Comments added,Shares,Dislikes,Likes,Subscribers lost,Subscribers gained,Average views per viewer,Unique viewers,Returning viewers,New viewers,Average percentage viewed (%),Average view duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
hDWsytu2eOI,Artist18 - Song24,"Oct 31, 2023",0.83,350552,2918,6.7333,101,13,796,121,5779,41,453,2.8595,221313,124603,94785,48.7,0:00:59,632840,10529.0621,412,348.191,4556727,8.64
fJCSz30bSAA,Artist20 - Song25,"Dec 13, 2023",0.16,328936,526,8.3902,344,37,1016,97,4420,15,236,2.0013,227646,68243,153369,56.19,0:01:54,455579,14449.25,221,639.799,3341386,6.88
Rp2P8g1G3Ta,Artist21 - Song26,"Oct 26, 2023",2.25,65233,1469,15.6,78,3,216,12,950,9,123,2.1916,38962,31514,6959,57.39,0:01:16,85390,1810.6092,114,56.721,512050,9.88
j6LcJ3kSlJU,Artist22 - Song27,"Oct 26, 2023",0.83,280215,2321,1.6693,1075,71,2593,75,8119,82,771,2.5811,180896,82952,95655,58.73,0:01:31,466910,11881.6419,689,503.592,2836812,7.77
ct3S4NF92c7,Artist5 - Song5,"Oct 24, 2023",2.68,42895,1151,1.257,851,4,109,9,781,8,110,2.0261,34774,31596,2732,52.21,0:01:17,70457,1522.4031,102,54.33,379895,10.03
M41vcNSiWQ5,Artist23 - Song28,"Nov 9, 2023",0.68,21209,145,9.7,97,8,37,15,851,10,77,2.0584,24524,11193,13167,41.39,0:00:57,50481,806.5686,67,46.4,485388,7.01
ZQfoaCnr8q9,Artist24 - Song29,"Jan 16, 2024",0.75,7023,53,6,234,5,12,7,340,5,29,1.3642,15534,11146,3729,48.62,0:01:24,21192,494.7128,24,20.285,94603,7.36
mHLk4Osnqhg,Artist25 - Song30,"Dec 4, 2023",0.71,36693,261,3.875,124,5,940,27,823,5,81,1.8973,37842,21832,15552,48.47,0:00:50,71798,1014.9116,76,41.977,492851,10.38
SPscQDzEwH5,Artist9 - Song31,"Oct 29, 2023",0.28,6049,17,16.5,66,0,29,2,85,1,12,2.0247,4092,3514,538,62.82,0:02:19,8285,320.9747,11,8.146,46250,8.43
pgD2zSicpsd,Artist26 - Song32,"Jan 29, 2024",1.65,3339,55,2.9444,106,3,15,3,180,2,20,1.9115,4396,3109,1055,61.17,0:01:18,8403,184.1433,18,6.433,50170,9.52
s5004GFiJbO,Artist27 - Song33,"Jan 8, 2024",0.25,73167,180,3.5488,291,10,191,84,2331,3,72,1.6723,92306,43170,45849,46.06,0:01:25,154366,3673.2696,69,162.127,1019905,6.48
bYaPuKQ982W,Artist28 - Song34,"Dec 21, 2023",0.71,983,7,11,143,2,4,0,37,0,5,1.6175,1213,683,520,47.49,0:01:35,1962,52.0237,5,2.498,25443,5.17
